ID,Renamed,Sample_or_Control,SampleID,Site,County ,State,WA,NV,UT,KS,NJ,NY,CT,RI,Flyway,Atlantic,Central,Pacific,Date,Age,Sex,Latitude ,Longitude,UTM (universal transverse mercator),Notes,How Collected,Control
86,483CAHYU,483,483CAHYU,Konica Minolta Business Solutions,Hartford ,CT,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,Atlantic ,1.00,0.00,0.00,6/26/2019,AHY,U,41.87607,-72.68423,,,,C4_1
87,485CAHYU,485,485CAHYU,Konica Minolta Business Solutions,Hartford ,CT,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,Atlantic ,1.00,0.00,0.00,6/26/2019,AHY,U,41.87607,-72.68423,,,,C4_1
88,489CAHYU,489,489CAHYU,Konica Minolta Business Solutions,Hartford ,CT,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,Atlantic ,1.00,0.00,0.00,6/26/2019,AHY,U,41.87607,-72.68423,,,,C4_1
89,491CAHYU,491,491CAHYU,Konica Minolta Business Solutions,Hartford ,CT,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,Atlantic ,1.00,0.00,0.00,6/26/2019,AHY,U,41.87607,-72.68423,,,,C4_1
90,495CAHYU,495,495CAHYU,Konica Minolta Business Solutions,Hartford ,CT,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,Atlantic ,1.00,0.00,0.00,6/26/2019,AHY,U,41.87607,-72.68423,,,,C4_1
96,361CHYU,361,361CHYU,Lamberts Cove,New London,CT,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,Atlantic ,1.00,0.00,0.00,6/18/2019,HY,U,41.34546,-71.91696,,,,C3_1
97,369CHYU,369,369CHYU,Lamberts Cove,New London,CT,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,Atlantic ,1.00,0.00,0.00,6/18/2019,HY,U,41.34546,-71.91696,,,,C3_1
98,370CAHYU,370,370CAHYU,Lamberts Cove,New London,CT,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,Atlantic ,1.00,0.00,0.00,6/18/2019,AHY,U,41.34546,-71.91696,,,,C3_1
99,373CAHYU,373,373CAHYU,Lamberts Cove,New London,CT,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,Atlantic ,1.00,0.00,0.00,6/18/2019,AHY,U,41.34546,-71.91696,,,,C3_1
100,380CAHYU,380,380CAHYU,Lamberts Cove,New London,CT,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,Atlantic ,1.00,0.00,0.00,6/18/2019,AHY,U,41.34546,-71.91696,,,,C2_2
116,401CAHYU,401,401CAHYU,Memorial Park Bristol ,Hartford,CT,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,Atlantic ,1.00,0.00,0.00,6/20/2019,AHY,U,41.66886,-72.93115,,,,C3_1
